date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,endpoint
2025-09-27,AAPL,USD,0000320193,2025-10-31,2025-10-31 06:01:26,2025,FY,35934000000,18763000000,54697000000,72957000000,39777000000,33180000000,5718000000,0,14585000000,147957000000,49834000000,0,0,0,77723000000,20777000000,62950000000,211284000000,0,359241000000,82876000000,69860000000,13016000000,8919000000,20329000000,2117000000,0,9055000000,42335000000,165631000000,78328000000,11603000000,0,0,29946000000,119877000000,0,13720000000,285508000000,0,0,93568000000,-14264000000,0,-5571000000,0,73733000000,73733000000,0,359241000000,96486000000,112377000000,76443000000,balance-sheet-statement
2024-09-28,AAPL,USD,0000320193,2024-11-01,2024-11-01 06:01:36,2024,FY,29943000000,35228000000,65171000000,66243000000,33410000000,32833000000,7286000000,0,14287000000,152987000000,45680000000,0,0,0,91479000000,19499000000,55335000000,211993000000,0,364980000000,95561000000,68960000000,26601000000,0,20879000000,1632000000,26601000000,8249000000,50071000000,176392000000,85750000000,10798000000,0,0,35090000000,131638000000,0,12430000000,308030000000,0,0,83276000000,-19154000000,0,-7172000000,0,56950000000,56950000000,0,364980000000,126707000000,119059000000,89116000000,balance-sheet-statement
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,FY,29965000000,31590000000,61555000000,60985000000,29508000000,31477000000,6331000000,0,14695000000,143566000000,54376000000,0,0,0,100544000000,17852000000,36245000000,209017000000,0,352583000000,71430000000,62611000000,8819000000,0,15807000000,1575000000,8819000000,8061000000,48435000000,145308000000,95281000000,11267000000,0,0,38581000000,145129000000,0,12842000000,290437000000,0,0,73812000000,-214000000,0,-11452000000,0,62146000000,62146000000,0,352583000000,132134000000,123930000000,93965000000,balance-sheet-statement
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,FY,23646000000,24658000000,48304000000,60932000000,28184000000,32748000000,4946000000,0,21223000000,135405000000,52534000000,0,0,0,120805000000,15375000000,28636000000,217350000000,0,352755000000,70667000000,64115000000,6552000000,0,21110000000,1663000000,6552000000,7912000000,52630000000,153982000000,98959000000,10748000000,0,0,38394000000,148101000000,0,12411000000,302083000000,0,0,64849000000,-3068000000,0,-11109000000,0,50672000000,50672000000,0,352755000000,145463000000,132480000000,108834000000,balance-sheet-statement
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,FY,34940000000,27699000000,62639000000,51506000000,26278000000,25228000000,6580000000,0,14111000000,134836000000,49527000000,0,0,0,127877000000,0,38762000000,216166000000,0,351002000000,54763000000,54763000000,0,0,15613000000,1528000000,0,7612000000,45965000000,125481000000,109106000000,10275000000,0,0,43050000000,162431000000,0,11803000000,287912000000,0,0,57365000000,5562000000,0,163000000,0,63090000000,63090000000,0,351002000000,155576000000,136522000000,101582000000,balance-sheet-statement
2025-06-30,MSFT,USD,0000789019,2025-07-30,2025-07-30 16:11:40,2025,FY,30242000000,64313000000,94555000000,69905000000,69905000000,0,938000000,0,25733000000,191131000000,229789000000,119509000000,22604000000,142113000000,15133000000,0,40837000000,427872000000,0,619003000000,34935000000,27724000000,7211000000,0,2999000000,8596000000,0,64555000000,30133000000,141218000000,40152000000,60437000000,2710000000,2835000000,28172000000,134306000000,0,69033000000,275524000000,0,0,109095000000,237731000000,0,-3347000000,0,343479000000,343479000000,0,619003000000,79446000000,112184000000,81942000000,balance-sheet-statement
2024-06-30,MSFT,USD,0000789019,2024-07-30,2024-07-30 16:06:22,2024,FY,18315000000,57216000000,75531000000,56924000000,56924000000,0,1246000000,0,26033000000,159734000000,154552000000,119220000000,27597000000,146817000000,14600000000,0,36460000000,352429000000,0,512163000000,27013000000,21996000000,5017000000,0,8942000000,5929000000,5017000000,57582000000,25820000000,125286000000,42688000000,40293000000,2602000000,2618000000,30199000000,118400000000,0,46222000000,243686000000,0,0,100923000000,173144000000,0,-5590000000,0,268477000000,268477000000,0,512163000000,71816000000,97852000000,79537000000,balance-sheet-statement
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,34704000000,76552000000,111256000000,48688000000,48688000000,0,2500000000,0,21813000000,184257000000,109987000000,67886000000,9366000000,77252000000,9879000000,0,30601000000,227719000000,0,411976000000,22247000000,18095000000,4152000000,0,5247000000,3606000000,4152000000,50901000000,22148000000,104149000000,41990000000,28598000000,2912000000,433000000,27671000000,101604000000,0,32204000000,205753000000,0,0,93718000000,118848000000,0,-6343000000,0,206223000000,206223000000,0,411976000000,86431000000,79441000000,44737000000,balance-sheet-statement
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,13931000000,90818000000,104749000000,44261000000,44261000000,0,3742000000,0,16932000000,169684000000,87546000000,67524000000,11298000000,78822000000,6891000000,0,21897000000,195156000000,0,364840000000,23067000000,19000000000,4067000000,0,2749000000,3288000000,4067000000,45538000000,20440000000,95082000000,47032000000,25331000000,2870000000,230000000,27753000000,103216000000,0,28619000000,198298000000,0,0,86939000000,84281000000,0,-4678000000,0,166542000000,166542000000,0,364840000000,97709000000,78400000000,64469000000,balance-sheet-statement
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,14224000000,116032000000,130256000000,38043000000,38043000000,0,2636000000,0,13471000000,184406000000,70803000000,49711000000,7800000000,57511000000,5984000000,0,15075000000,149373000000,0,333779000000,17337000000,15163000000,2174000000,0,8072000000,2753000000,2174000000,41525000000,18970000000,88657000000,50074000000,21379000000,2616000000,198000000,28867000000,103134000000,0,24132000000,191791000000,0,0,83111000000,57055000000,0,1822000000,0,141988000000,141988000000,0,333779000000,122016000000,82278000000,68054000000,balance-sheet-statement
