date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil,endpoint
2025-09-27,AAPL,USD,0000320193,2025-10-31,2025-10-31 06:01:26,2025,FY,416161000000,220960000000,195201000000,34550000000,27601000000,0,27601000000,0,62151000000,283111000000,0,0,0,11698000000,144427000000,132729000000,321000000,133050000000,-321000000,132729000000,20719000000,112010000000,0,0,112010000000,0,112010000000,7.49,7.46,14948500000,15004697000,income-statement
2024-09-28,AAPL,USD,0000320193,2024-11-01,2024-11-01 06:01:36,2024,FY,391035000000,210352000000,180683000000,31370000000,7458000000,18639000000,26097000000,0,57467000000,267819000000,0,0,0,11445000000,134930000000,123485000000,-269000000,123216000000,269000000,123485000000,29749000000,93736000000,0,0,93736000000,0,93736000000,6.11,6.08,15343783000,15408095000,income-statement
2023-09-30,AAPL,USD,0000320193,2023-11-03,2023-11-02 18:08:27,2023,FY,383285000000,214137000000,169148000000,29915000000,0,0,24932000000,0,54847000000,268984000000,-183000000,3750000000,3933000000,11519000000,129188000000,117669000000,-3368000000,114301000000,-565000000,113736000000,16741000000,96995000000,0,0,96995000000,0,96995000000,6.16,6.13,15744231000,15812547000,income-statement
2022-09-24,AAPL,USD,0000320193,2022-10-28,2022-10-27 18:01:14,2022,FY,394328000000,223546000000,170782000000,26251000000,0,0,25094000000,0,51345000000,274891000000,-106000000,2825000000,2931000000,11104000000,133138000000,122034000000,-2597000000,119437000000,-334000000,119103000000,19300000000,99803000000,0,0,99803000000,0,99803000000,6.15,6.11,16215963000,16325819000,income-statement
2021-09-25,AAPL,USD,0000320193,2021-10-29,2021-10-28 18:04:28,2021,FY,365817000000,212981000000,152836000000,21914000000,0,0,21973000000,0,43887000000,256868000000,198000000,2843000000,2645000000,11284000000,123136000000,111852000000,-2903000000,108949000000,258000000,109207000000,14527000000,94680000000,0,0,94680000000,0,94680000000,5.67,5.61,16701272000,16864919000,income-statement
2025-06-30,MSFT,USD,0000789019,2025-07-30,2025-07-30 16:11:40,2025,FY,281724000000,87831000000,193893000000,32488000000,7223000000,25654000000,32877000000,0,65365000000,153196000000,262000000,2647000000,2385000000,34153000000,160165000000,126012000000,2516000000,128528000000,-4901000000,123627000000,21795000000,101832000000,0,0,101832000000,0,101832000000,13.7,13.64,7433000000,7465000000,income-statement
2024-06-30,MSFT,USD,0000789019,2024-07-30,2024-07-30 16:06:22,2024,FY,245122000000,74114000000,171008000000,29510000000,7609000000,24456000000,32065000000,0,61575000000,135689000000,222000000,3157000000,2935000000,22287000000,133009000000,110722000000,-1289000000,109433000000,-1646000000,107787000000,19651000000,88136000000,0,0,88136000000,0,88136000000,11.86,11.8,7431000000,7469000000,income-statement
2023-06-30,MSFT,USD,0000789019,2023-07-27,2023-07-27 16:01:56,2023,FY,211915000000,65863000000,146052000000,27195000000,7575000000,22759000000,30334000000,0,57529000000,123392000000,1026000000,2994000000,1968000000,13861000000,105140000000,91279000000,-2756000000,88523000000,788000000,89311000000,16950000000,72361000000,0,0,72361000000,0,72361000000,9.72,9.68,7446000000,7472000000,income-statement
2022-06-30,MSFT,USD,0000789019,2022-07-28,2022-07-28 16:06:19,2022,FY,198270000000,62650000000,135620000000,24512000000,5900000000,21825000000,27725000000,0,52237000000,114887000000,31000000,2094000000,2063000000,14460000000,100239000000,85779000000,-2396000000,83383000000,333000000,83716000000,10978000000,72738000000,0,0,72738000000,0,72738000000,9.7,9.65,7496000000,7540000000,income-statement
2021-06-30,MSFT,USD,0000789019,2021-07-29,2021-07-29 16:21:55,2021,FY,168088000000,52232000000,115856000000,20716000000,5107000000,20117000000,25224000000,0,45940000000,98172000000,-215000000,2131000000,2346000000,11686000000,85134000000,73448000000,-3532000000,69916000000,1186000000,71102000000,9831000000,61271000000,0,0,61271000000,0,61271000000,8.12,8.05,7547000000,7608000000,income-statement
2025-12-31,GOOGL,USD,0001652044,2026-02-05,2026-02-04 21:56:03,2025,FY,402963000000,162535000000,240428000000,61087000000,21482000000,28693000000,50175000000,0,111262000000,273797000000,933000000,1076000000,143000000,21136000000,179962000000,158826000000,-29660000000,129166000000,29660000000,158826000000,26656000000,132170000000,0,0,132170000000,0,132170000000,10.91,10.81,12116000000,12230000000,income-statement
2024-12-31,GOOGL,USD,0001652044,2025-02-05,2025-02-04 20:41:40,2024,FY,350018000000,146306000000,203712000000,49326000000,14188000000,27808000000,41996000000,0,91322000000,237628000000,4214000000,4482000000,268000000,15311000000,135394000000,120083000000,-7693000000,112390000000,7425000000,119815000000,19697000000,100118000000,0,0,100118000000,0,100118000000,8.13,8.04,12319000000,12447000000,income-statement
2023-12-31,GOOGL,USD,0001652044,2024-01-31,2024-01-30 21:43:43,2023,FY,307394000000,133332000000,174062000000,45427000000,16425000000,27917000000,44342000000,0,89769000000,223101000000,3557000000,3865000000,308000000,11946000000,97971000000,86025000000,-1732000000,84293000000,1424000000,85717000000,11922000000,73795000000,0,0,73795000000,0,73795000000,5.84,5.8,12630000000,12722000000,income-statement
2022-12-31,GOOGL,USD,0001652044,2023-02-03,2023-02-02 21:23:45,2022,FY,282836000000,126203000000,156633000000,39500000000,15724000000,26567000000,42291000000,0,81791000000,207994000000,1817000000,2174000000,357000000,13475000000,85160000000,71685000000,3157000000,74842000000,-3514000000,71328000000,11356000000,59972000000,0,0,59972000000,0,59972000000,4.59,4.56,13063000000,13159000000,income-statement
2021-12-31,GOOGL,USD,0001652044,2022-02-02,2022-02-01 21:08:02,2021,FY,257637000000,110939000000,146698000000,31562000000,13510000000,22912000000,36422000000,0,67984000000,178923000000,1153000000,1499000000,346000000,12441000000,103521000000,91080000000,-12366000000,78714000000,12020000000,90734000000,14701000000,76033000000,0,0,76033000000,0,76033000000,5.69,5.61,13353000000,13553480000,income-statement
2025-12-31,AMZN,USD,0001018724,2026-02-06,2026-02-05 18:44:31,2025,FY,716924000000,356414000000,360510000000,108521000000,11172000000,47129000000,58301000000,113713000000,280535000000,636949000000,2107000000,4381000000,2274000000,65756000000,165341000000,99585000000,-19610000000,79975000000,16782000000,96757000000,19087000000,77670000000,0,0,77670000000,0,77670000000,7.29,7.17,10656000000,10827000000,income-statement
2024-12-31,AMZN,USD,0001018724,2025-02-07,2025-02-06 18:40:29,2024,FY,637959000000,326288000000,311671000000,88544000000,11359000000,43907000000,55266000000,99268000000,243078000000,569366000000,2271000000,4677000000,2406000000,52795000000,123815000000,71020000000,-2427000000,68593000000,-80000000,68513000000,9265000000,59248000000,0,0,59248000000,0,59248000000,5.66,5.53,10473000000,10721000000,income-statement
2023-12-31,AMZN,USD,0001018724,2024-02-02,2024-02-01 18:48:30,2023,FY,574785000000,304739000000,270046000000,85622000000,11816000000,44370000000,56186000000,91386000000,233194000000,537933000000,-233000000,2949000000,3182000000,48663000000,89402000000,40739000000,-3887000000,36852000000,693000000,37545000000,7120000000,30425000000,0,0,30425000000,0,30425000000,2.95,2.9,10304000000,10492000000,income-statement
2022-12-31,AMZN,USD,0001018724,2023-02-03,2023-02-02 18:27:34,2022,FY,513983000000,288831000000,225152000000,73213000000,11891000000,42238000000,54129000000,85562000000,212904000000,501735000000,-1378000000,989000000,2367000000,41921000000,38352000000,-3569000000,15817000000,12248000000,-18187000000,-5939000000,-3217000000,-2722000000,0,0,-2722000000,0,-2722000000,-0.27,-0.27,10189000000,10189000000,income-statement
2021-12-31,AMZN,USD,0001018724,2022-02-04,2022-02-03 18:46:51,2021,FY,469822000000,272344000000,197478000000,56052000000,8823000000,32551000000,41374000000,75173000000,172599000000,444943000000,-1361000000,448000000,1809000000,34433000000,74393000000,39960000000,-15081000000,24879000000,13276000000,38155000000,4791000000,33364000000,0,0,33364000000,0,33364000000,3.3,3.24,10120000000,10300000000,income-statement
2025-12-31,META,USD,0001326801,2026-01-29,2026-01-28 19:13:46,2025,FY,200966000000,36175000000,164791000000,57372000000,12152000000,11991000000,24143000000,0,81515000000,117690000000,2656000000,2656000000,0,18616000000,104548000000,85932000000,-2656000000,83276000000,2656000000,85932000000,25474000000,60458000000,0,0,60458000000,0,60458000000,23.98,23.49,2521000000,2574000000,income-statement
2024-12-31,META,USD,0001326801,2025-01-30,2025-01-29 20:00:50,2024,FY,164501000000,30161000000,134340000000,43873000000,9740000000,11347000000,21087000000,0,64960000000,95121000000,1802000000,2517000000,715000000,15498000000,86876000000,71378000000,-1998000000,69380000000,1283000000,70663000000,8303000000,62360000000,0,0,62360000000,0,62360000000,24.61,23.86,2534000000,2614000000,income-statement
2023-12-31,META,USD,0001326801,2024-02-02,2024-02-01 19:39:02,2023,FY,134902000000,25959000000,108943000000,38483000000,11408000000,12301000000,23709000000,0,62192000000,88151000000,1193000000,1639000000,446000000,11178000000,59052000000,47874000000,-1123000000,46751000000,677000000,47428000000,8330000000,39098000000,0,0,39098000000,0,39098000000,15.19,14.87,2574000000,2629000000,income-statement
2022-12-31,META,USD,0001326801,2023-02-02,2023-02-01 20:26:31,2022,FY,116609000000,25249000000,91360000000,35338000000,11816000000,15262000000,27078000000,0,62416000000,87665000000,276000000,461000000,185000000,8686000000,37690000000,29004000000,-60000000,28944000000,-125000000,28819000000,5619000000,23200000000,0,0,23200000000,0,23200000000,8.63,8.59,2687000000,2702000000,income-statement
2021-12-31,META,USD,0001326801,2022-02-03,2022-02-02 21:11:04,2021,FY,117929000000,22649000000,95280000000,24655000000,9829000000,14043000000,23872000000,0,48527000000,71176000000,461000000,484000000,23000000,7967000000,55274000000,47307000000,-554000000,46753000000,531000000,47284000000,7914000000,39370000000,0,0,39370000000,0,39370000000,13.99,13.77,2815000000,2859000000,income-statement
2026-01-25,NVDA,USD,0001045810,2026-02-25,2026-02-25 16:42:19,2026,FY,215938000000,62475000000,153463000000,18497000000,0,0,4579000000,0,23076000000,85551000000,2041000000,2300000000,259000000,2843000000,144552000000,141709000000,-11322000000,130387000000,11063000000,141450000000,21383000000,120067000000,0,0,120067000000,0,120067000000,4.93,4.9,24359000000,24514000000,income-statement
2025-01-26,NVDA,USD,0001045810,2025-02-26,2025-02-26 16:48:33,2025,FY,130497000000,32639000000,97858000000,12914000000,0,0,3491000000,0,16405000000,49044000000,1539000000,1786000000,247000000,1864000000,86137000000,84273000000,-2820000000,81453000000,2573000000,84026000000,11146000000,72880000000,0,0,72880000000,0,72880000000,2.97,2.94,24555000000,24804000000,income-statement
2024-01-28,NVDA,USD,0001045810,2024-02-21,2024-02-21 16:36:57,2024,FY,60922000000,16621000000,44301000000,8675000000,0,0,2654000000,0,11329000000,27950000000,609000000,866000000,257000000,1508000000,35583000000,34075000000,-1103000000,32972000000,846000000,33818000000,4058000000,29760000000,0,0,29760000000,0,29760000000,1.21,1.19,24690000000,24940000000,income-statement
2023-01-29,NVDA,USD,0001045810,2023-02-24,2023-02-24 17:23:43,2023,FY,26974000000,11618000000,15356000000,7339000000,0,0,2440000000,1353000000,11132000000,22750000000,5000000,267000000,262000000,1543000000,5986000000,4443000000,-219000000,4224000000,-43000000,4181000000,-187000000,4368000000,0,0,4368000000,0,4368000000,0.18,0.17,24870000000,25070000000,income-statement
2022-01-30,NVDA,USD,0001045810,2022-03-18,2022-03-17 20:33:34,2022,FY,26914000000,9439000000,17475000000,5268000000,0,0,2166000000,0,7434000000,16873000000,-207000000,29000000,236000000,1174000000,11351000000,10177000000,-136000000,10041000000,-100000000,9941000000,189000000,9752000000,0,0,9752000000,0,9752000000,0.39,0.38,24960000000,25350000000,income-statement
2025-12-31,TSLA,USD,0001318605,2026-01-29,2026-01-28 20:55:03,2025,FY,94827000000,77733000000,17094000000,6411000000,5834000000,0,5834000000,494000000,12739000000,90472000000,1342000000,1680000000,338000000,6148000000,11764000000,5616000000,-1261000000,4355000000,923000000,5278000000,1423000000,3855000000,0,0,3794000000,0,3794000000,1.18,1.08,3225000000,3528000000,income-statement
2024-12-31,TSLA,USD,0001318605,2025-01-30,2025-01-29 20:42:33,2024,FY,97690000000,80240000000,17450000000,4540000000,5150000000,0,5150000000,684000000,10374000000,90614000000,1219000000,1569000000,350000000,5368000000,14708000000,9340000000,-2264000000,7076000000,1914000000,8990000000,1837000000,7153000000,0,0,7130000000,0,7130000000,2.2302,2.0383,3197000000,3498000000,income-statement
2023-12-31,TSLA,USD,0001318605,2024-01-29,2024-01-26 21:00:20,2023,FY,96773000000,79113000000,17660000000,3969000000,4800000000,0,4800000000,0,8769000000,87882000000,910000000,1066000000,156000000,4667000000,14796000000,10129000000,-1238000000,8891000000,1082000000,9973000000,-5001000000,14974000000,0,2000000,14999000000,0,14999000000,4.73,4.31,3173500000,3482750000,income-statement
2022-12-31,TSLA,USD,0001318605,2023-01-31,2023-01-30 21:29:15,2022,FY,81462000000,60609000000,20853000000,3075000000,3946000000,0,3946000000,176000000,7197000000,67806000000,106000000,297000000,191000000,3747000000,17657000000,13910000000,-254000000,13656000000,63000000,13719000000,1132000000,12587000000,0,27000000,12583000000,-1000000,12584000000,4.02,3.62,3130000000,3475000000,income-statement
2021-12-31,TSLA,USD,0001318605,2022-02-07,2022-02-04 20:11:27,2021,FY,53823000000,40217000000,13606000000,2593000000,4517000000,0,4517000000,0,7110000000,47327000000,-315000000,56000000,371000000,2911000000,9625000000,6714000000,-191000000,6523000000,-180000000,6343000000,699000000,5644000000,0,5000000,5524000000,-4000000,5533000000,1.87,1.63,2959000000,3386000000,income-statement
