symbol,marketCap,enterpriseValueTTM,evToSalesTTM,evToOperatingCashFlowTTM,evToFreeCashFlowTTM,evToEBITDATTM,netDebtToEBITDATTM,currentRatioTTM,incomeQualityTTM,grahamNumberTTM,grahamNetNetTTM,taxBurdenTTM,interestBurdenTTM,workingCapitalTTM,investedCapitalTTM,returnOnAssetsTTM,operatingReturnOnAssetsTTM,returnOnTangibleAssetsTTM,returnOnEquityTTM,returnOnInvestedCapitalTTM,returnOnCapitalEmployedTTM,earningsYieldTTM,freeCashFlowYieldTTM,capexToOperatingCashFlowTTM,capexToDepreciationTTM,capexToRevenueTTM,salesGeneralAndAdministrativeToRevenueTTM,researchAndDevelopementToRevenueTTM,stockBasedCompensationToRevenueTTM,intangiblesToTotalAssetsTTM,averageReceivablesTTM,averagePayablesTTM,averageInventoryTTM,daysOfSalesOutstandingTTM,daysOfPayablesOutstandingTTM,daysOfInventoryOutstandingTTM,operatingCycleTTM,cashConversionCycleTTM,freeCashFlowToEquityTTM,freeCashFlowToFirmTTM,tangibleAssetValueTTM,netCurrentAssetValueTTM,endpoint
AAPL,4583336313360,4631719313360,10.259832521918652,33.03133112749783,35.85643638317308,28.888302480852232,0.3017675822667964,1.07035746912159,1.1439689985723027,36.83959035988331,-10.37184248926531,0.8300602695198754,0.9996479874358593,9473000000,80923000000,0.3303178273265747,0.3927775164283649,0.3504666216818967,1.4668924498270723,0.49573922251878827,0.6232675382019193,0.026701147599871484,0.028183399857320043,0.07878934831909401,0.8761300555114988,0.02447268973644455,0.06350095914868355,0.08868913393082611,0.02984436538913083,0.057491336146727676,61915500000,63968000000,6311000000,43.26472725178429,88.93357720364871,10.462865008858357,53.727592260642645,-35.205984943006065,114843000000,129174000000.0,85157000000,-120477000000,key-metrics-ttm
MSFT,3344576323200,3369436323200,10.586623192039537,19.80378817098759,46.20983492237643,16.766784882488466,0.12370682577043078,1.2829483173692569,1.3587800281114235,145.4985977559817,-21.000370320495556,0.8104438101525536,0.9820313989703172,38668000000,485285000000,0.1803672568666202,0.2191301405632829,0.22551608127627232,0.3313037398539619,0.21313559289430895,0.2671553373854622,0.03745077467496881,0.02180126657424757,0.5714378074655727,2.2284489674299204,0.305476744807131,0.1070119048741175,0.10806446038463835,0.038822017576106045,0.20020223903386208,58288000000,37420500000,1139000000,68.85587216006385,135.7509195641613,4.411280648007694,73.26715280807154,-62.483766756089764,78878000000,75207124651.30127,275381000000,-104532000000,key-metrics-ttm
GOOGL,4600162967240,4652583967240,11.010313104319799,26.684851807769295,72.21257457418243,21.262637238032127,0.2395676713205219,1.9224466669065008,1.0882914710875862,108.57665575878792,-4.222146458384991,0.8239075541658738,0.9936888043989289,102565000000,466312000000,0.22759436810201172,0.21274168719211822,0.2516220329479614,0.3898493363523653,0.19209650290445626,0.23315298170671012,0.03481470503010381,0.014005808154804575,0.6304680733913383,4.752237257360252,0.26013451153192635,0.12391200427862156,0.15278796685014887,0.061973750846021684,0.09549110053855628,62942500000,14526000000,0,54.416671005239415,36.734330675744275,0.0,54.416671005239415,17.68234032949514,126457000000,64840129869.52878,411528000000,-11420000000,key-metrics-ttm
AMZN,2911301544000,3019373544000,4.064985330705354,20.32823817250271,-1221.429427184466,17.589676702241693,0.6295847508971432,1.1771531122552548,1.6358399964756933,88.44488157197192,-23.89565298333799,0.790159340707156,1.1352934783682582,38399000000,548047000000,0.09905632588939921,0.09848778328121974,0.10165688701394231,0.2333561425996781,0.09646181360178514,0.12205339818310153,0.031229046327288332,-0.000849104760410212,1.0166429903521823,2.143741393262255,0.20329547535192305,0.0791773024438054,0.15495115620321603,0.02667022090105227,0.02558175054274898,71630500000,123329000000,37429500000,37.1164119465357,124.10264621791708,36.3447087906547,73.4611207371904,-50.641525480726685,7755000000,-470107570.20651245,418465000000,-219561000000,key-metrics-ttm
META,1605578098080,1668921098080,7.763759800895968,13.459041113548386,34.58688782210432,14.712835753969303,0.55841774439537,2.3477637798643936,1.7566974088713219,245.50358867048928,-22.607142857142858,0.7904302255268639,0.9631571000237279,63012000000,305804000000,0.17858823529411766,0.23275022955031782,0.19051719019060626,0.33215067171729057,0.19955653989217054,0.254214526954321,0.044040345541049,0.030053349667451514,0.6108629032258065,3.6566256335988414,0.35237226871601157,0.11456855365807139,0.29270618664607395,0.1037946065136791,0.06261353573687539,18619500000,11110000000,0,29.66347697045538,125.29275392184643,0.0,29.66347697045538,-95.62927695139105,75543000000,49626767731.96568,218933000000,-41804000000,key-metrics-ttm
NVDA,5114021940000,5113598940000,20.17270411967289,40.69781405195467,42.943993248009676,26.52776939677533,-0.00219439314394804,3.440775681341719,0.7872040497954427,34.49958720063582,2.4706826978506133,0.8425383888557508,0.9995146015247843,107111000000,143528000000,0.6151406306604901,0.696088376651647,0.6778773464707382,1.116574996283633,0.6299357881627576,0.7527482721833109,0.03112732158630852,0.023284217666066562,0.05230485164905132,2.0353050480024777,0.025925969758295166,0.019085490214642727,0.08216859770169355,0.026983206504372935,0.09254877174591673,39588000000,11454500000,23600000000,58.61805744582648,72.93985260684478,143.6687315949282,202.28678904075468,129.3469364339099,119076000000,119327076439.87901,171460000000,86995000000,key-metrics-ttm
TSLA,1636705218800,1629331218800,16.646381949141286,98.58005922071636,232.76160268571428,155.51505381311443,-0.7038274315166555,2.043119104809889,4.264189886480908,26.4834583466486,-1.2522418058132343,0.7128931395990435,0.941308864265928,35610000000,91555000000,0.026968356015696752,0.03478847724931624,0.026968356015696752,0.04792077449738722,0.032115742668148844,0.044686365046630046,0.0027502140249761153,0.0042768850001787505,0.5764762826718296,1.5145445875059609,0.09734468067716262,0.06555032233676274,0.07098560467516014,0.033531196681617095,0.0,4267500000,14033500000,13413000000,14.763483484710715,67.71238859855083,66.50521346158702,81.26869694629774,13.556308347746906,5349000000,7244788302.372631,84745000000,10769000000,key-metrics-ttm
NFLX,362213016000,367328812000,7.833842496710171,29.037210325558828,30.883004044153935,10.778687561067349,0.1501150057081776,1.4071526391702711,0.9459113640032658,22.918244785092714,-3.8105919147709795,0.8329418472149075,0.9494737742209243,4939404000,9187703000,0.2191828348256817,0.23902330125429427,0.2191828348256817,0.4923666531701542,0.2307048991701021,0.2850933886061171,0.03681722458951968,0.03283759962949537,0.05976729841294409,0.04403748392947204,0.016124400277142296,0.11782275416041871,0.07524554493419407,0.009317062796683779,0.0,2293598000,897646500,0,15.597311255672638,13.663298176350038,0.0,15.597311255672638,1.9340130793226002,10860756000,12605884008.388124,31126399000,-12818533000,key-metrics-ttm
AMD,841552660000,839838660000,22.423203396165963,86.35873110539845,97.95179146256122,103.86330200346278,-0.21197130843433093,2.7249190938511325,1.9674286870321667,52.25943400172599,3.504445125689761,1.0131472491909386,0.9757252812314979,18122000000,62343000000,0.06289395042816605,0.05574574625721731,0.13131816275167785,0.0808176963164943,0.06218265629181962,0.06312196250867855,0.005950633619523685,0.010188310735064399,0.1183547557840617,0.3812520702219278,0.030731030063544613,0.12044107438457842,0.23388690126555242,0.04701767501468468,0.5210567288616559,6175000000,2963000000,7982500000,58.8128103807337,58.742616260337236,157.68580173987758,216.49861212061128,157.75599586027406,6133000000,8721640776.69903,22964000000,13448000000,key-metrics-ttm
INTC,576381680000,604165680000,11.237573796105128,60.53764328657314,-193.70493106764988,52.98769338712507,2.4367654797403966,2.311958341082388,-3.5452930728241565,,-8.755557741491245,1.7603993344425957,2.35378590078329,35272000000,162917000000,-0.015457892583718076,-0.024373681798440832,-0.017425677344972412,-0.029530113924462826,-0.028146144936852663,-0.028462232483594568,-0.005445015601153396,-0.005411344788057802,1.3125250501002004,1.0765121630506247,0.2436433978758626,0.08310548146494802,0.2512694604095754,0.04410096162788535,0.11292443457425048,3952500000,8520500000,0,27.60430035526291,75.27540114654452,0.0,27.60430035526291,-47.67110079128162,-8365000000,-1146394342.762064,101802000000,-18186000000,key-metrics-ttm
