symbol,name,price,changePercentage,change,volume,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,open,previousClose,timestamp,endpoint
AAPL,Apple Inc.,312.06,-0.14399,-0.44999,56381546,309.53,315.0,315.0,195.07,4583336313360,275.2846,263.23715,NASDAQ,311.77499,312.50999,1780084800,quote
MSFT,Microsoft Corporation,450.24,5.44509,23.25,77168677,432.36,450.24,555.45,356.28,3344576323200,402.8256,458.46146,NASDAQ,432.7125,426.99,1780084801,quote
GOOGL,Alphabet Inc.,380.34,-2.50942,-9.79,44249622,378.46,385.24,408.61,162.0,4600162967240,347.5748,299.92114,NASDAQ,385.24,390.13,1780084801,quote
AMZN,"Amazon.com, Inc.",270.64,-1.22628,-3.36,54582943,269.64,274.75,278.56,196.0,2911301544000,246.6696,231.52055,NASDAQ,271.315,274.0,1780084801,quote
META,"Meta Platforms, Inc.",632.51,-0.4376,-2.78,19726619,623.35,634.5,796.25,520.26,1605578098080,618.532,666.5715,NASDAQ,633.97,635.29,1780084801,quote
NVDA,NVIDIA Corporation,211.14,-1.45158,-3.11,230465710,211.1375,217.8,236.54,135.4,5114021940000,199.3488,187.6532,NASDAQ,214.45,214.25,1780084801,quote
TSLA,"Tesla, Inc.",435.79,-1.42728,-6.31,44967971,428.2,441.07,498.83,273.21,1636705218800,391.795,412.12796,NASDAQ,439.845,442.1,1780084800,quote
NFLX,"Netflix, Inc.",86.02,-0.3937,-0.34,35649267,85.66,86.67,134.115,75.01,362213016000,93.0388,101.20062,NASDAQ,86.25,86.36,1780084800,quote
AMD,"Advanced Micro Devices, Inc.",516.1,-0.3841,-1.99,21772067,503.43,522.0,527.2,111.01,841552660000,328.1464,237.5825,NASDAQ,520.43,518.09,1780084801,quote
INTC,Intel Corporation,114.68,-5.1369,-6.21,153853296,113.6,126.64,132.75,18.97,576381680000,82.4498,49.16695,NASDAQ,123.8,120.89,1780084801,quote
JPM,JPMorgan Chase & Co.,299.31,0.86948,2.58,7239863,295.23,299.57,337.25,260.31,802004562522,302.8138,305.7703,NYSE,296.4,296.73,1780084803,quote
V,Visa Inc.,326.36,0.43391,1.41,6048834,325.3455,331.67,375.51,293.89,625575451176,315.2664,330.77985,NYSE,325.5,324.95,1780084803,quote
COST,Costco Wholesale Corporation,956.32,-3.90675,-38.88,6143767,945.45,998.6576,1096.5,844.06,424274236960,1007.429,957.41986,NASDAQ,985.482,995.2,1780084801,quote
WMT,Walmart Inc.,115.75,-2.64929,-3.15,41258461,114.71,119.08,135.16,93.43,922642152111,126.4308,115.0689,NASDAQ,118.14,118.9,1780084800,quote
